tempID#,content_rating,runtime,production_company,tomatometer_rating,audience_rating,year,month,len_title,len_movie_info,num_directors,num_authors,num_actors,num_genres,main_genre
1,PG,119,20th Century Fox,49,53,2010,2,50,454,1,3,87,4,Action & Adventure
2,R,90,Sony,87,64,2010,4,11,486,1,1,8,1,Comedy
3,R,122,Warner Bros.,67,53,1979,10,2,279,1,1,46,2,Comedy
4,NR,95,Other,100,97,1957,4,31,450,1,1,16,2,Classics
5,G,127,Disney,89,74,1954,1,28,489,1,1,16,3,Action & Adventure
6,PG-13,109,Warner Bros.,8,37,2008,3,11,286,1,2,29,3,Action & Adventure
7,NR,80,Other,96,86,1935,8,12,498,1,4,14,3,Action & Adventure
8,NR,92,Columbia,96,79,1957,8,12,480,1,1,14,3,Classics
9,PG,103,Other,20,87,2002,9,25,164,1,2,6,3,Comedy
10,NR,97,United Artists,82,40,1930,11,15,106,1,2,34,2,Classics
11,PG-13,100,Other,80,66,2002,1,10,479,1,4,8,3,Art House & International
12,R,110,Paramount,91,79,1988,10,11,486,1,1,42,2,Drama
13,R,143,Magnolia,25,64,2005,9,13,342,1,2,23,1,Drama
14,NR,97,Warner Bros.,100,86,1950,10,18,108,1,1,30,1,Drama
15,NR,101,MGM,96,86,1949,11,10,460,1,2,43,3,Classics
16,PG,124,Other,4,35,2005,6,26,481,1,1,15,3,Art House & International
17,PG,92,Other,100,86,1951,12,29,488,1,3,18,2,Drama
18,R,87,Warner Bros.,69,57,2004,9,8,492,3,6,24,2,Drama
19,G,86,Other,80,82,1985,3,28,492,1,1,6,3,Action & Adventure
20,G,90,Other,67,80,2005,6,9,478,2,3,2,2,Documentary
21,PG,102,Warner Bros.,100,89,1938,5,28,493,2,4,40,3,Action & Adventure
22,NR,100,20th Century Fox,92,75,1941,1,8,494,1,1,41,3,Classics
23,R,83,Lionsgate,75,60,2003,9,8,492,3,2,11,3,Comedy
24,R,103,Other,80,91,1997,9,9,499,1,1,39,1,Comedy
25,R,77,Other,0,63,2004,4,5,141,1,2,10,2,Art House & International
26,PG-13,126,20th Century Fox,31,71,2006,1,16,375,1,1,39,3,Drama
