content_rating,runtime,production_company,tomatometer_rating,audience_rating,year,month,len_title,len_movie_info,num_directors,num_authors,num_actors,num_genres,main_genre
PG,119.0,20th Century Fox,49.0,53.0,2010,2,50,454,1,3,87,4,Action & Adventure
R,90.0,Sony Pictures Classics,87.0,64.0,2010,4,11,486,1,1,8,1,Comedy
R,122.0,Waner Bros.,67.0,53.0,1979,10,2,279,1,1,46,2,Comedy
NR,95.0,Criterion Collection,100.0,97.0,1957,4,31,450,1,1,16,2,Classics
G,127.0,Disney,89.0,74.0,1954,1,28,489,1,1,16,3,Action & Adventure
PG-13,109.0,Warner Bros. Pictures,8.0,37.0,2008,3,11,286,1,2,29,3,Action & Adventure
NR,80.0,Gaumont British Distributors,96.0,86.0,1935,8,12,498,1,4,14,3,Action & Adventure
NR,92.0,Columbia Pictures,96.0,79.0,1957,8,12,480,1,1,14,3,Classics
PG,103.0,Excel Entertainment,20.0,87.0,2002,9,25,164,1,2,6,3,Comedy
NR,97.0,United Artists,82.0,40.0,1930,11,15,106,1,2,34,2,Classics
PG-13,100.0,Toho Company Ltd,80.0,66.0,2002,1,10,479,1,4,8,3,Art House & International
R,110.0,Paramount Pictures,91.0,79.0,1988,10,11,486,1,1,42,2,Drama
R,143.0,Magnolia Pictures,25.0,64.0,2005,9,13,342,1,2,23,1,Drama
NR,97.0,Warner Home Video,100.0,86.0,1950,10,18,108,1,1,30,1,Drama
NR,101.0,MGM Home Entertainment,96.0,86.0,1949,11,10,460,1,2,43,3,Classics
PG,124.0,Fine Line Features,4.0,35.0,2005,6,26,481,1,1,15,3,Art House & International
PG,92.0,VCI Entertainment,100.0,86.0,1951,12,29,488,1,3,18,2,Drama
R,87.0,Warner Bros. Pictures,69.0,57.0,2004,9,8,492,3,6,24,2,Drama
G,86.0,Eureka Entertainment Ltd,80.0,82.0,1985,3,28,492,1,1,6,3,Action & Adventure
G,90.0,Miramax Flims,67.0,80.0,2005,6,9,478,2,3,2,2,Documentary
PG,102.0,Warner Bros.,100.0,89.0,1938,5,28,493,2,4,40,3,Action & Adventure
NR,100.0,Twentieth Century Fox,92.0,75.0,1941,1,8,494,1,1,41,3,Classics
R,83.0,LionsGate Entertainment,75.0,60.0,2003,9,8,492,3,2,11,3,Comedy
R,103.0,Avalanche Entertainment,80.0,91.0,1997,9,9,499,1,1,39,1,Comedy
R,77.0,Dolores Pictures LLC,0.0,63.0,2004,4,5,141,1,2,10,2,Art House & International
PG-13,126.0,20th Century Fox,31.0,71.0,2006,1,16,375,1,1,39,3,Drama
NR,94.0,Wellspring,63.0,80.0,2005,6,9,141,1,2,10,2,Art House & International
R,121.0,New Line Cinema,41.0,79.0,2006,2,14,491,1,1,28,3,Action & Adventure
R,93.0,Séville Pictures,0.0,61.0,2004,8,18,472,1,2,18,1,Comedy
PG-13,88.0,Sony Pictures,8.0,30.0,2006,3,11,435,1,1,34,4,Action & Adventure
R,75.0,Emerging Pictures,93.0,48.0,2004,5,17,105,1,1,23,4,Action & Adventure
PG,94.0,MGM,22.0,56.0,2007,1,51,460,1,2,21,3,Animation
R,90.0,Anchor Bay Entertainment,33.0,83.0,2004,9,11,113,1,1,9,1,Horror
R,108.0,Regent Releasing,21.0,39.0,2004,8,7,134,2,2,19,2,Horror
NR,150.0,Fox,0.0,37.0,1957,12,18,490,3,1,40,3,Classics
NR,71.0,Warner Home Video,100.0,88.0,1952,5,17,295,1,2,27,3,Classics
R,97.0,The Weinstein Company,75.0,65.0,2006,1,11,480,2,2,15,4,Action & Adventure
PG-13,107.0,Dark Forest Releasing,15.0,66.0,2005,4,5,126,2,2,12,3,Art House & International
G,130.0,Wellspring,87.0,73.0,2005,12,23,146,1,2,19,2,Art House & International
PG-13,98.0,IDP,64.0,85.0,2005,8,11,490,1,1,31,2,Comedy
PG-13,91.0,IFC Films,32.0,75.0,2005,8,10,471,1,1,35,2,Comedy
PG-13,130.0,Sony Pictures,61.0,63.0,2005,9,12,143,1,1,51,2,Drama
NR,192.0,Batjac Productions,52.0,63.0,1960,10,9,477,1,1,59,4,Action & Adventure
R,96.0,Slow Hand Cinema,24.0,60.0,2005,9,1,494,1,3,25,2,Drama
G,141.0,United Artists,0.0,42.0,1956,3,19,486,1,1,33,1,Classics
PG,114.0,Paramount Pictures,96.0,76.0,1966,8,5,287,1,1,16,4,Classics
PG-13,102.0,Senator Film,14.0,65.0,2005,9,8,490,1,1,17,2,Drama
PG-13,104.0,Sony Pictures,44.0,78.0,2006,2,17,340,1,4,27,2,Drama
R,90.0,Indican Pictures,60.0,67.0,2003,10,9,490,1,1,7,2,Drama
R,137.0,20th Century Fox,97.0,94.0,1986,7,6,362,1,1,26,3,Action & Adventure
R,97.0,IDP Distribution,36.0,20.0,2007,6,18,405,1,1,32,2,Horror
PG,138.0,20th Century Fox,99.0,94.0,1950,1,13,304,1,1,24,2,Classics
R,87.0,ThinkFilm,42.0,68.0,2006,4,15,275,1,2,30,1,Comedy
R,88.0,Regent Releasing,30.0,58.0,2006,6,48,375,1,1,27,2,Comedy
R,97.0,SNP Inc.,21.0,42.0,2006,2,5,470,1,3,32,1,Drama
PG-13,85.0,Buena Vista,10.0,55.0,2006,3,10,277,1,2,23,2,Horror
PG,93.0,HBO Video,85.0,67.0,1984,9,9,458,1,3,28,2,Comedy
PG-13,88.0,Dreamland Motion Picture Co.,67.0,65.0,2006,12,9,496,1,2,8,2,Art House & International
PG,109.0,Sony Pictures Home Entertainment,95.0,78.0,1949,11,18,303,1,2,30,2,Classics
NR,86.0,Marshall Curry Productions,100.0,93.0,2005,1,12,492,1,1,7,2,Documentary
G,143.0,RCA Video,20.0,45.0,1973,3,12,108,1,1,20,4,Action & Adventure
NR,76.0,Palm Pictures,88.0,64.0,2005,6,9,269,1,1,28,2,Comedy
PG-13,97.0,Miramax,81.0,80.0,2006,5,66,498,2,2,20,2,Documentary
