,movie_id,title,year,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,genre_1,runtime_conv,full_date,infl_budget,infl_domestic,infl_worldwide
0,tt0099165,The Bonfire of the Vanities,1990,R,Brian De Palma,Tom Hanks,Bruce Willis,Melanie Griffith,Kim Cattrall,Comedy,125,1990-12-22,97441392.5019128,32531310.606273916,32531310.606273916
1,tt0099611,Frankenhooker,1990,R,Frank Henenlotter,James Lorinz,Joanne Ritchie,Patty Mullen,J.J. Clark,Comedy,85,1990-06-01,5183052.792654936,425151.308033665,425151.308033665
2,tt0099674,The Godfather: Part III,1990,R,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,Crime,162,1990-12-25,111953940.32134663,138213487.52976286,283546287.83580726
3,tt0099747,Havana,1990,R,Sydney Pollack,Robert Redford,Lena Olin,Alan Arkin,Tomas Milian,Drama,144,1990-12-14,82928844.68247898,19163073.035960216,19997129.891354248
4,tt0100029,Lionheart,1990,R,Sheldon Lettich,Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Lisa Pelikan,Action,108,1990-01-11,12439326.702371847,49919424.40795717,50319556.083550125
5,tt0100332,Paris Is Burning,1990,R,Jennie Livingston,Brooke Xtravaganza,André Christian,Dorian Corey,Paris Duprée,Documentary,71,1990-08-09,1036610.5585309871,8096544.208798777,8096544.208798777
6,tt0100405,Pretty Woman,1990,R,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,Laura San Giacomo,Comedy,119,1990-03-23,29025095.638867643,369875642.233818,960743660.5964806
7,tt0101356,Another You,1991,R,Maurice Phillips,Richard Pryor,Gene Wilder,Mercedes Ruehl,Stephen Lang,Comedy,98,1991-07-26,33821512.481644645,5701741.98619677,5701741.98619677
8,tt0101453,Billy Bathgate,1991,R,Robert Benton,Dustin Hoffman,Nicole Kidman,Loren Dean,Bruce Willis,Crime,106,1991-11-01,95496035.24229077,30967301.116813518,30967301.116813518
9,tt0101507,Boyz n the Hood,1991,R,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II,Crime,112,1991-07-12,12931754.772393541,114404387.49581501,114454127.0036711
10,tt0101588,City of Hope,1991,R,John Sayles,Vincent Spano,Tony Lo Bianco,Stephen Mendillo,Chris Cooper,Crime,129,1991-10-11,5968502.202643173,2675908.330029369,2675908.330029369
11,tt0101831,Eve of Destruction,1991,R,Duncan Gibbins,Gregory Hines,Renée Soutendijk,Michael Greene,Kurt Fuller,Action,99,1991-01-18,25863509.544787083,10845005.252790015,10845005.252790015
12,tt0101902,For the Boys,1991,R,Mark Rydell,Bette Midler,James Caan,George Segal,Patrick O'Neal,Comedy,138,1991-11-22,79580029.36857565,35533040.1732746,46161279.37356829
13,tt0101917,Freddy's Dead: The Final Nightmare,1991,R,Rachel Talalay,Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane,Fantasy,89,1991-09-13,21884508.076358303,69377935.25704847,69377935.25704847
14,tt0102005,Harley Davidson and the Marlboro Man,1991,R,Simon Wincer,Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin,Action,98,1991-08-23,45758516.886930995,14791392.835682822,14791392.835682822
15,tt0102032,High Strung,1992,PG,Roger Nygard,Steve Oedekerk,Thomas F. Wilson,Denise Crosby,Fred Willard,Comedy,93,1992-12-04,579408.410548824,1745.9506771204562,1745.9506771204562
16,tt0102065,House Party 2,1991,R,George Jackson,Christopher Reid,Christopher Martin,Martin Lawrence,Bowlegged Lou,Comedy,94,1991-10-25,9947503.671071956,38673184.57312776,38673184.57312776
17,tt0102070,Hudson Hawk,1991,R,Michael Lehmann,Bruce Willis,Danny Aiello,Andie MacDowell,James Coburn,Action,100,1991-05-24,129317547.7239354,34255382.80176212,34255382.80176212
18,tt0102175,Jungle Fever,1991,R,Spike Lee,Wesley Snipes,Annabella Sciorra,Spike Lee,Ossie Davis,Drama,132,1991-06-07,27853010.279001474,64624319.68825258,87304628.05829664
19,tt0102307,Light Sleeper,1992,R,Paul Schrader,Willem Dafoe,Susan Sarandon,Dana Delany,David Clennon,Crime,103,1992-08-21,9656806.8424804,2029592.339059159,2039492.49743407
20,tt0102370,Madonna: Truth or Dare,1991,R,Alek Keshishian,Madonna,Donna DeLory,Niki Harris,Luis Camacho,Documentary,120,1991-05-10,8952753.30396476,29868245.20521293,57721255.4842144
21,tt0102411,The Marrying Man,1991,R,Jerry Rees,Kim Basinger,Alec Baldwin,Robert Loggia,Elisabeth Shue,Comedy,115,1991-04-05,51727019.089574166,24778770.080469903,24778770.080469903
22,tt0102492,My Girl,1991,PG,Howard Zieff,Anna Chlumsky,Macaulay Culkin,Dan Aykroyd,Jamie Lee Curtis,Comedy,102,1991-11-27,33821512.481644645,118354998.78876653,118354998.78876653
23,tt0102526,New Jack City,1991,R,Mario Van Peebles,Wesley Snipes,Ice-T,Allen Payne,Chris Rock,Action,97,1991-03-08,15916005.873715127,94748685.25998534,94748685.25998534
24,tt0102614,Out for Justice,1991,R,John Flynn,Steven Seagal,William Forsythe,Jerry Orbach,Jo Champa,Action,91,1991-04-12,27853010.279001474,78929782.93810575,78929782.93810575
25,tt0102753,Rambling Rose,1991,R,Martha Coolidge,Laura Dern,Robert Duvall,Diane Ladd,Lukas Haas,Drama,112,1991-09-20,14921255.506607933,12467447.08054332,12467447.08054332
26,tt0102898,Shakes the Clown,1991,R,Bobcat Goldthwait,Bobcat Goldthwait,Julie Brown,Bruce Baum,Steve Bean,Comedy,87,1991-03-13,2785301.0279001477,228997.50301027906,228997.50301027906
